Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Tue Jul 13 2021 18:32:01 GMT+0200 (GMT+02:00),,,184795136,149104152,normal
Tue Jul 13 2021 18:32:02 GMT+0200 (GMT+02:00),,,184795136,149104152,normal
Tue Jul 13 2021 18:32:03 GMT+0200 (GMT+02:00),0.221972,,243396608,149104152,normal
Tue Jul 13 2021 18:32:03 GMT+0200 (GMT+02:00),0.221972,[OUT] - 200 [GET] http://www.google.it/,243396608,149104152,normal
Tue Jul 13 2021 18:32:04 GMT+0200 (GMT+02:00),0.221972,,243396608,149104152,normal
Tue Jul 13 2021 18:32:05 GMT+0200 (GMT+02:00),0.00105437,,243474432,149104152,normal
Tue Jul 13 2021 18:32:06 GMT+0200 (GMT+02:00),0.00105437,,243474432,149104152,normal
Tue Jul 13 2021 18:32:06 GMT+0200 (GMT+02:00),0.00105437,[OUT] - 200 [GET] http://www.google.it/,243474432,149104152,normal
Tue Jul 13 2021 18:32:07 GMT+0200 (GMT+02:00),0.00105437,,243474432,149104152,normal
Tue Jul 13 2021 18:32:07 GMT+0200 (GMT+02:00),0.00105437,[IN] - 200 [GET] /api/patients,243474432,149104152,normal
Tue Jul 13 2021 18:32:07 GMT+0200 (GMT+02:00),0.00105437,[OUT] - 200 [POST] http://localhost:9500/,243474432,149104152,anomaly
Tue Jul 13 2021 18:32:08 GMT+0200 (GMT+02:00),0.00105437,,243474432,149104152,normal
Tue Jul 13 2021 18:32:09 GMT+0200 (GMT+02:00),0.000739877,[IN] - 200 [GET] /api/patients,243486720,145720208,normal
Tue Jul 13 2021 18:32:09 GMT+0200 (GMT+02:00),0.000739877,[OUT] - 200 [POST] http://localhost:9500/,243486720,145720208,anomaly
Tue Jul 13 2021 18:32:09 GMT+0200 (GMT+02:00),0.000739877,,243486720,145720208,normal
Tue Jul 13 2021 18:32:09 GMT+0200 (GMT+02:00),0.000739877,[OUT] - 200 [GET] http://www.google.it/,243486720,145720208,anomaly
Tue Jul 13 2021 18:32:10 GMT+0200 (GMT+02:00),0.000739877,,243486720,145720208,normal
