Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Tue Jul 13 2021 17:59:51 GMT+0200 (GMT+02:00),,,196370432,149913920,normal
Tue Jul 13 2021 17:59:53 GMT+0200 (GMT+02:00),0.129894,,246329344,149913920,normal
Tue Jul 13 2021 17:59:55 GMT+0200 (GMT+02:00),0.000388613,,246329344,149913920,normal
Tue Jul 13 2021 17:59:55 GMT+0200 (GMT+02:00),0.000388613,[OUT] - 200 [GET] http://www.google.it/,246329344,149913920,normal
Tue Jul 13 2021 17:59:57 GMT+0200 (GMT+02:00),0.000388613,,246366208,149913920,normal
Tue Jul 13 2021 17:59:59 GMT+0200 (GMT+02:00),0.000846467,,246484992,145518816,normal
Tue Jul 13 2021 18:00:01 GMT+0200 (GMT+02:00),0.0258213,,206725120,144962888,normal
Tue Jul 13 2021 18:00:01 GMT+0200 (GMT+02:00),0.0258213,[OUT] - 200 [GET] http://www.google.it/,206725120,144962888,normal
Tue Jul 13 2021 18:00:02 GMT+0200 (GMT+02:00),0.0258213,[IN] - 200 [GET] /api/patients,206725120,144962888,normal
Tue Jul 13 2021 18:00:02 GMT+0200 (GMT+02:00),0.0258213,[IN] - 200 [GET] /api/patients,206725120,144962888,normal
Tue Jul 13 2021 18:00:03 GMT+0200 (GMT+02:00),0.0258213,,206725120,144962888,normal
Tue Jul 13 2021 18:00:05 GMT+0200 (GMT+02:00),0.000828669,,207089664,144962888,normal
Tue Jul 13 2021 18:00:07 GMT+0200 (GMT+02:00),0.000828669,,207925248,144962888,normal
Tue Jul 13 2021 18:00:07 GMT+0200 (GMT+02:00),0.000828669,[OUT] - 200 [GET] http://www.google.it/,207925248,144962888,normal
Tue Jul 13 2021 18:00:08 GMT+0200 (GMT+02:00),0.00137246,[IN] - 200 [GET] /api/patients/60edb6139ae8150405315ab2,207925248,145462712,normal
Tue Jul 13 2021 18:00:09 GMT+0200 (GMT+02:00),0.00137246,,207925248,145462712,normal
Tue Jul 13 2021 18:00:11 GMT+0200 (GMT+02:00),0.00119135,,207499264,145462712,normal
Tue Jul 13 2021 18:00:13 GMT+0200 (GMT+02:00),0.00119135,[IN] - 200 [PUT] /api/patients/60edb6139ae8150405315ab2,207536128,145462712,normal
Tue Jul 13 2021 18:00:13 GMT+0200 (GMT+02:00),0.00119135,,207536128,145462712,normal
Tue Jul 13 2021 18:00:13 GMT+0200 (GMT+02:00),0.00119135,[OUT] - 200 [GET] http://www.google.it/,207536128,145462712,anomaly
Tue Jul 13 2021 18:00:15 GMT+0200 (GMT+02:00),0.000329343,,207855616,145912088,normal
Tue Jul 13 2021 18:00:17 GMT+0200 (GMT+02:00),0.00185677,,207855616,145912088,normal
Tue Jul 13 2021 18:00:17 GMT+0200 (GMT+02:00),0.00185677,[IN] - 200 [DELETE] /api/patients/60edb6139ae8150405315ab2,207855616,145912088,normal
Tue Jul 13 2021 18:00:19 GMT+0200 (GMT+02:00),0.000326638,,207855616,145912088,normal
Tue Jul 13 2021 18:00:19 GMT+0200 (GMT+02:00),0.000326638,[OUT] - 200 [GET] http://www.google.it/,207855616,145912088,normal
Tue Jul 13 2021 18:00:20 GMT+0200 (GMT+02:00),0.000326638,[IN] - 200 [PUT] /api/patients/60edb6139ae8150405315ab2,208027648,145993264,normal
Tue Jul 13 2021 18:00:21 GMT+0200 (GMT+02:00),0.000326638,,208027648,145993264,normal
Tue Jul 13 2021 18:00:23 GMT+0200 (GMT+02:00),0.000855874,,207761408,145993264,normal
Tue Jul 13 2021 18:00:25 GMT+0200 (GMT+02:00),0.000250785,,207777792,145993264,normal
Tue Jul 13 2021 18:00:25 GMT+0200 (GMT+02:00),0.000250785,[OUT] - 200 [GET] http://www.google.it/,207777792,145993264,normal
Tue Jul 13 2021 18:00:26 GMT+0200 (GMT+02:00),0.000250785,[IN] - 200 [GET] /api/patients,207777792,145993264,normal
Tue Jul 13 2021 18:00:27 GMT+0200 (GMT+02:00),0.000250785,,207777792,145993264,normal
Tue Jul 13 2021 18:00:29 GMT+0200 (GMT+02:00),0.000683826,,208146432,145993264,normal
Tue Jul 13 2021 18:00:31 GMT+0200 (GMT+02:00),0.000422345,,208396288,145993264,normal
Tue Jul 13 2021 18:00:31 GMT+0200 (GMT+02:00),0.000422345,[OUT] - 200 [GET] http://www.google.it/,208396288,145993264,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,normal
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
