Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Tue Jul 13 2021 18:45:57 GMT+0200 (GMT+02:00),,,,127386808,normal
Tue Jul 13 2021 18:45:58 GMT+0200 (GMT+02:00),,,219697152,145774104,normal
Tue Jul 13 2021 18:45:59 GMT+0200 (GMT+02:00),,,219697152,145774104,normal
Tue Jul 13 2021 18:45:59 GMT+0200 (GMT+02:00),,[OUT] - 200 [GET] http://www.google.it/,219697152,145774104,normal
Tue Jul 13 2021 18:46:00 GMT+0200 (GMT+02:00),0.0723715,,247619584,145774104,normal
Tue Jul 13 2021 18:46:01 GMT+0200 (GMT+02:00),0.0723715,,247619584,145774104,normal
Tue Jul 13 2021 18:46:02 GMT+0200 (GMT+02:00),0.0723715,[IN] - 200 [GET] /api/patients,247619584,145774104,normal
Tue Jul 13 2021 18:46:02 GMT+0200 (GMT+02:00),0.0723715,,247619584,145774104,normal
Tue Jul 13 2021 18:46:02 GMT+0200 (GMT+02:00),0.0723715,[OUT] - 200 [GET] http://www.google.it/,247619584,145774104,normal
Tue Jul 13 2021 18:46:03 GMT+0200 (GMT+02:00),0.0723715,[IN] - 200 [GET] /api/patients,247619584,145774104,normal
Tue Jul 13 2021 18:46:03 GMT+0200 (GMT+02:00),0.0723715,,247619584,145774104,normal
Tue Jul 13 2021 18:46:04 GMT+0200 (GMT+02:00),0.00109338,[IN] - 200 [GET] /api/patients,247808000,145774104,normal
Tue Jul 13 2021 18:46:04 GMT+0200 (GMT+02:00),0.00109338,,247808000,145774104,normal
Tue Jul 13 2021 18:46:05 GMT+0200 (GMT+02:00),0.00109338,[IN] - 200 [GET] /api/patients,247808000,145774104,normal
Tue Jul 13 2021 18:46:05 GMT+0200 (GMT+02:00),0.00109338,,247808000,145774104,normal
Tue Jul 13 2021 18:46:06 GMT+0200 (GMT+02:00),0.00328539,[OUT] - 200 [GET] http://www.google.it/,248012800,153868832,anomaly
Tue Jul 13 2021 18:46:06 GMT+0200 (GMT+02:00),0.00328539,,248012800,153868832,normal
Tue Jul 13 2021 18:46:07 GMT+0200 (GMT+02:00),0.00328539,,248012800,153868832,normal
Tue Jul 13 2021 18:46:08 GMT+0200 (GMT+02:00),0.00132976,,249257984,153868832,normal
Tue Jul 13 2021 18:46:08 GMT+0200 (GMT+02:00),0.00132976,[OUT] - 200 [GET] http://www.google.it/,249257984,153868832,normal
Tue Jul 13 2021 18:46:09 GMT+0200 (GMT+02:00),0.00132976,,249257984,153868832,normal
Tue Jul 13 2021 18:46:10 GMT+0200 (GMT+02:00),0.00132976,,249257984,153868832,normal
Tue Jul 13 2021 18:46:11 GMT+0200 (GMT+02:00),0.00132976,,249257984,153868832,normal
Tue Jul 13 2021 18:46:12 GMT+0200 (GMT+02:00),0.000577639,[OUT] - 200 [GET] http://www.google.it/,249262080,153868832,normal
Tue Jul 13 2021 18:46:12 GMT+0200 (GMT+02:00),0.000577639,,249262080,153868832,normal
Tue Jul 13 2021 18:46:13 GMT+0200 (GMT+02:00),0.000577639,,249262080,153868832,normal
Tue Jul 13 2021 18:46:14 GMT+0200 (GMT+02:00),0.000617322,,249270272,145295896,normal
Tue Jul 13 2021 18:46:15 GMT+0200 (GMT+02:00),0.000617322,[OUT] - 200 [GET] http://www.google.it/,249270272,145295896,normal
Tue Jul 13 2021 18:46:15 GMT+0200 (GMT+02:00),0.000617322,[IN] - 200 [GET] /api/patients/60edbf67cd0ced4782632242,249270272,145295896,normal
Tue Jul 13 2021 18:46:15 GMT+0200 (GMT+02:00),0.000617322,,249270272,145295896,normal
Tue Jul 13 2021 18:46:16 GMT+0200 (GMT+02:00),0.000617322,,249270272,144761248,normal
Tue Jul 13 2021 18:46:16 GMT+0200 (GMT+02:00),0.000617322,[IN] - 200 [GET] /api/patients/60edbf67cd0ced4782632242,249270272,144761248,normal
Tue Jul 13 2021 18:46:17 GMT+0200 (GMT+02:00),0.000617322,,249270272,144761248,normal
Tue Jul 13 2021 18:46:18 GMT+0200 (GMT+02:00),0.000617322,[OUT] - 200 [GET] http://www.google.it/,249270272,144761248,normal
Tue Jul 13 2021 18:46:18 GMT+0200 (GMT+02:00),0.0298814,,212312064,144761248,normal
Tue Jul 13 2021 18:46:19 GMT+0200 (GMT+02:00),0.0298814,,212312064,144761248,normal
Tue Jul 13 2021 18:46:20 GMT+0200 (GMT+02:00),0.0298814,[IN] - 200 [PUT] /api/patients/60edbf67cd0ced4782632242,212312064,144761248,normal
