Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes),Class
Mon Jun 28 2021 18:45:56 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,,105105280,normal
Mon Jun 28 2021 18:45:56 GMT+0200 (GMT+02:00),,[OUT] - 200 [POST] http://localhost:9500/,,105105280,anomaly
Mon Jun 28 2021 18:45:57 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,194396160,150552968,normal
Mon Jun 28 2021 18:45:57 GMT+0200 (GMT+02:00),,[OUT] - 200 [POST] http://localhost:9500/,194396160,150552968,anomaly
Mon Jun 28 2021 18:46:01 GMT+0200 (GMT+02:00),0.212768,,248369152,150552968,normal
Mon Jun 28 2021 18:46:02 GMT+0200 (GMT+02:00),0.212768,[IN] - 200 [PUT] /api/patients/60d9f9b6364ae37db2256016,248369152,150552968,normal
Mon Jun 28 2021 18:46:02 GMT+0200 (GMT+02:00),0.212768,[OUT] - 200 [POST] http://localhost:9500/,248369152,150552968,anomaly
Mon Jun 28 2021 18:46:04 GMT+0200 (GMT+02:00),0.000862014,[IN] - 200 [PUT] /api/patients/60d9f9b6364ae37db2256016,248369152,150552968,normal
Mon Jun 28 2021 18:46:04 GMT+0200 (GMT+02:00),0.000862014,[OUT] - 200 [POST] http://localhost:9500/,248369152,150552968,anomaly
Mon Jun 28 2021 18:46:06 GMT+0200 (GMT+02:00),0.00242725,[IN] - 200 [GET] /api/patients,248451072,146228544,normal
Mon Jun 28 2021 18:46:06 GMT+0200 (GMT+02:00),0.00242725,[OUT] - 200 [POST] http://localhost:9500/,248451072,146228544,anomaly
Mon Jun 28 2021 18:46:06 GMT+0200 (GMT+02:00),0.00242725,[IN] - 200 [GET] /api/patients,248451072,146228544,normal
Mon Jun 28 2021 18:46:06 GMT+0200 (GMT+02:00),0.00242725,[OUT] - 200 [POST] http://localhost:9500/,248451072,146228544,anomaly
Mon Jun 28 2021 18:46:06 GMT+0200 (GMT+02:00),0.00242725,,248451072,146228544,normal
Mon Jun 28 2021 18:46:06 GMT+0200 (GMT+02:00),0.00242725,[OUT] - 200 [GET] http://www.google.it/,248451072,146228544,anomaly
Mon Jun 28 2021 18:46:10 GMT+0200 (GMT+02:00),0.0236281,[IN] - 200 [DELETE] /api/patients/60d9fbeadc6bd57f0cd06078,211296256,145989072,normal
Mon Jun 28 2021 18:46:10 GMT+0200 (GMT+02:00),0.0236281,[OUT] - 200 [POST] http://localhost:9500/,211296256,145989072,anomaly
Mon Jun 28 2021 18:46:11 GMT+0200 (GMT+02:00),0.000275189,,211316736,145989072,normal
Mon Jun 28 2021 18:46:14 GMT+0200 (GMT+02:00),0.000275189,[IN] - 201 [POST] /api/patients,211693568,145989072,normal
Mon Jun 28 2021 18:46:14 GMT+0200 (GMT+02:00),0.000275189,[OUT] - 200 [POST] http://localhost:9500/,211693568,145989072,anomaly
Mon Jun 28 2021 18:46:16 GMT+0200 (GMT+02:00),0.000817202,,212217856,145989072,normal
Mon Jun 28 2021 18:46:16 GMT+0200 (GMT+02:00),0.000817202,[OUT] - 200 [GET] http://www.google.it/,212217856,145989072,normal
Mon Jun 28 2021 18:46:18 GMT+0200 (GMT+02:00),0.00187509,[IN] - 201 [POST] /api/patients,212217856,145989072,normal
Mon Jun 28 2021 18:46:18 GMT+0200 (GMT+02:00),0.00187509,[OUT] - 200 [POST] http://localhost:9500/,212217856,145989072,anomaly
Mon Jun 28 2021 18:46:19 GMT+0200 (GMT+02:00),0.00187509,[IN] - 200 [GET] /api/patients,212590592,145989072,normal
Mon Jun 28 2021 18:46:19 GMT+0200 (GMT+02:00),0.00187509,[OUT] - 200 [POST] http://localhost:9500/,212590592,145989072,anomaly
Mon Jun 28 2021 18:46:21 GMT+0200 (GMT+02:00),0.00122332,,212590592,146277784,normal
Mon Jun 28 2021 18:46:24 GMT+0200 (GMT+02:00),0.00146514,[IN] - 200 [GET] /api/patients/60d9f9b6364ae37db2256016,211058688,146277784,normal
Mon Jun 28 2021 18:46:24 GMT+0200 (GMT+02:00),0.00146514,[OUT] - 200 [POST] http://localhost:9500/,211058688,146277784,anomaly
Mon Jun 28 2021 18:46:26 GMT+0200 (GMT+02:00),0.000303876,,211058688,146277784,normal
Mon Jun 28 2021 18:46:26 GMT+0200 (GMT+02:00),0.000303876,[OUT] - 200 [GET] http://www.google.it/,211058688,146277784,normal
Mon Jun 28 2021 18:46:26 GMT+0200 (GMT+02:00),0.000303876,[IN] - 200 [PUT] /api/patients/60d9f9b6364ae37db2256016,211058688,146277784,normal
Mon Jun 28 2021 18:46:26 GMT+0200 (GMT+02:00),0.000303876,[OUT] - 200 [POST] http://localhost:9500/,211058688,146277784,anomaly
Mon Jun 28 2021 18:46:30 GMT+0200 (GMT+02:00),0.00274893,[IN] - 201 [POST] /api/patients,211058688,146343024,normal
Mon Jun 28 2021 18:46:30 GMT+0200 (GMT+02:00),0.00274893,[OUT] - 200 [POST] http://localhost:9500/,211058688,146343024,anomaly
Mon Jun 28 2021 18:46:31 GMT+0200 (GMT+02:00),0.000232606,,210378752,146465280,normal
Mon Jun 28 2021 18:46:33 GMT+0200 (GMT+02:00),0.000232606,[IN] - 200 [GET] /api/patients,210378752,146465280,normal
Mon Jun 28 2021 18:46:33 GMT+0200 (GMT+02:00),0.000232606,[OUT] - 200 [POST] http://localhost:9500/,210378752,146465280,anomaly
Mon Jun 28 2021 18:46:36 GMT+0200 (GMT+02:00),0.00141917,,210841600,146465280,normal
Mon Jun 28 2021 18:46:36 GMT+0200 (GMT+02:00),0.00141917,[OUT] - 200 [GET] http://www.google.it/,210841600,146465280,normal
Mon Jun 28 2021 18:46:38 GMT+0200 (GMT+02:00),0.000252078,[IN] - 200 [DELETE] /api/patients/60d9f9b6364ae37db2256016,210862080,146465280,normal
Mon Jun 28 2021 18:46:38 GMT+0200 (GMT+02:00),0.000252078,[OUT] - 200 [POST] http://localhost:9500/,210862080,146465280,anomaly
Mon Jun 28 2021 18:46:41 GMT+0200 (GMT+02:00),0.00117792,,210608128,146519952,normal
