Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes),Class
Mon Jun 28 2021 18:13:34 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,,109578344,normal
Mon Jun 28 2021 18:13:35 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,198115328,145296352,normal
Mon Jun 28 2021 18:13:39 GMT+0200 (GMT+02:00),0.000454784,,198115328,145296352,normal
Mon Jun 28 2021 18:13:39 GMT+0200 (GMT+02:00),0.000454784,[IN] - 200 [GET] /api/patients/60d9f20c03395417f7e19f73,198115328,145296352,normal
Mon Jun 28 2021 18:13:43 GMT+0200 (GMT+02:00),0.000490325,[IN] - 200 [DELETE] /api/patients/60d9f20c03395417f7e19f73,246173696,145296352,normal
Mon Jun 28 2021 18:13:44 GMT+0200 (GMT+02:00),0.000490325,,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,normal
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [POST] /,246173696,145296352,anomaly
Mon Jun 28 2021 18:13:46 GMT+0200 (GMT+02:00),0.000490325,[IN] - 404 [GET] /,246173696,145296352,anomaly
