Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes),Class
Mon Jun 28 2021 18:50:44 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,,115961792,normal
Mon Jun 28 2021 18:50:44 GMT+0200 (GMT+02:00),,[OUT] - 200 [POST] http://localhost:9500/,,115961792,anomaly
Mon Jun 28 2021 18:50:45 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,203677696,149110768,normal
Mon Jun 28 2021 18:50:45 GMT+0200 (GMT+02:00),,[OUT] - 200 [POST] http://localhost:9500/,203677696,149110768,anomaly
Mon Jun 28 2021 18:50:49 GMT+0200 (GMT+02:00),0.00112043,,247291904,149110768,normal
Mon Jun 28 2021 18:50:49 GMT+0200 (GMT+02:00),0.00112043,[IN] - 200 [PUT] /api/patients/60d9fc7694f2537f6d3a8f15,247291904,149110768,normal
Mon Jun 28 2021 18:50:49 GMT+0200 (GMT+02:00),0.00112043,[OUT] - 200 [POST] http://localhost:9500/,247291904,149110768,anomaly
Mon Jun 28 2021 18:50:54 GMT+0200 (GMT+02:00),0.00163108,,247373824,146165440,normal
Mon Jun 28 2021 18:50:54 GMT+0200 (GMT+02:00),0.00163108,[OUT] - 200 [GET] http://www.google.it/,247373824,146165440,normal
Mon Jun 28 2021 18:50:59 GMT+0200 (GMT+02:00),0.000271137,,208695296,145689712,normal
Mon Jun 28 2021 18:51:04 GMT+0200 (GMT+02:00),0.000356339,,208764928,145689712,normal
Mon Jun 28 2021 18:51:04 GMT+0200 (GMT+02:00),0.000356339,[OUT] - 200 [GET] http://www.google.it/,208764928,145689712,normal
Mon Jun 28 2021 18:51:09 GMT+0200 (GMT+02:00),0.000795983,,209088512,145689712,normal
Mon Jun 28 2021 18:51:14 GMT+0200 (GMT+02:00),0.000241266,,209137664,145689712,normal
Mon Jun 28 2021 18:51:14 GMT+0200 (GMT+02:00),0.000241266,[OUT] - 200 [GET] http://www.google.it/,209137664,145689712,normal
Mon Jun 28 2021 18:51:17 GMT+0200 (GMT+02:00),0.000816589,[IN] - 200 [GET] /api/patients,208527360,145814504,normal
Mon Jun 28 2021 18:51:17 GMT+0200 (GMT+02:00),0.000816589,[OUT] - 200 [POST] http://localhost:9500/,208527360,145814504,anomaly
Mon Jun 28 2021 18:51:17 GMT+0200 (GMT+02:00),0.000816589,[IN] - 200 [GET] /api/patients,208527360,145814504,normal
Mon Jun 28 2021 18:51:17 GMT+0200 (GMT+02:00),0.000816589,[OUT] - 200 [POST] http://localhost:9500/,208527360,145814504,anomaly
Mon Jun 28 2021 18:51:19 GMT+0200 (GMT+02:00),0.00282887,,208596992,145949816,normal
Mon Jun 28 2021 18:51:23 GMT+0200 (GMT+02:00),0.000296863,[OUT] - 200 [POST] http://localhost:9500/,208637952,145949816,normal
Mon Jun 28 2021 18:51:23 GMT+0200 (GMT+02:00),0.000296863,[IN] - 201 [POST] /api/patients,208637952,145949816,normal
Mon Jun 28 2021 18:51:24 GMT+0200 (GMT+02:00),0.000296863,,208637952,145949816,normal
Mon Jun 28 2021 18:51:24 GMT+0200 (GMT+02:00),0.000296863,[OUT] - 200 [GET] http://www.google.it/,208637952,145949816,normal
Mon Jun 28 2021 18:51:26 GMT+0200 (GMT+02:00),0.000296863,[IN] - 200 [GET] /api/patients,208683008,146134800,normal
Mon Jun 28 2021 18:51:26 GMT+0200 (GMT+02:00),0.000296863,[OUT] - 200 [POST] http://localhost:9500/,208683008,146134800,anomaly
Mon Jun 28 2021 18:51:27 GMT+0200 (GMT+02:00),0.00151308,[IN] - 200 [GET] /api/patients,208683008,146134800,normal
Mon Jun 28 2021 18:51:27 GMT+0200 (GMT+02:00),0.00151308,[OUT] - 200 [POST] http://localhost:9500/,208683008,146134800,anomaly
Mon Jun 28 2021 18:51:29 GMT+0200 (GMT+02:00),0.00136084,,209596416,146134800,normal
