Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes),Class
Mon Jun 28 2021 18:02:30 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,179261440,143062888,normal
Mon Jun 28 2021 18:02:34 GMT+0200 (GMT+02:00),0.231414,,240869376,143062888,normal
Mon Jun 28 2021 18:02:36 GMT+0200 (GMT+02:00),0.00105942,[IN] - 201 [POST] /api/patients,240877568,143062888,normal
Mon Jun 28 2021 18:02:38 GMT+0200 (GMT+02:00),0.000418197,[IN] - 200 [GET] /api/patients,240881664,153510464,normal
Mon Jun 28 2021 18:02:39 GMT+0200 (GMT+02:00),0.000418197,,240881664,153510464,normal
Mon Jun 28 2021 18:02:43 GMT+0200 (GMT+02:00),0.0289676,[IN] - 200 [DELETE] /api/patients/60d9f20303395417f7e19f72,204619776,145613376,normal
Mon Jun 28 2021 18:02:44 GMT+0200 (GMT+02:00),0.000340649,,204713984,145613376,normal
Mon Jun 28 2021 18:02:49 GMT+0200 (GMT+02:00),0.000446379,,204988416,145613376,normal
Mon Jun 28 2021 18:02:50 GMT+0200 (GMT+02:00),0.00025054,[IN] - 200 [PUT] /api/patients/60d9f20f03395417f7e19f74,204988416,145613376,normal
Mon Jun 28 2021 18:02:54 GMT+0200 (GMT+02:00),0.000577264,,205221888,145613376,normal
Mon Jun 28 2021 18:02:56 GMT+0200 (GMT+02:00),0.000173076,[IN] - 201 [POST] /api/patients,205242368,145613376,normal
Mon Jun 28 2021 18:02:59 GMT+0200 (GMT+02:00),0.000173076,,205590528,145613376,normal
Mon Jun 28 2021 18:03:00 GMT+0200 (GMT+02:00),0.000451554,[IN] - 201 [POST] /api/patients,205590528,145613376,normal
Mon Jun 28 2021 18:03:02 GMT+0200 (GMT+02:00),0.000345761,[IN] - 200 [GET] /api/patients,205627392,145925496,normal
Mon Jun 28 2021 18:03:04 GMT+0200 (GMT+02:00),0.000345761,,205627392,145925496,normal
Mon Jun 28 2021 18:03:08 GMT+0200 (GMT+02:00),0.00029763,[IN] - 200 [GET] /api/patients/60d9f29ce30fa918520f4781,205266944,145925496,normal
Mon Jun 28 2021 18:03:09 GMT+0200 (GMT+02:00),0.00029763,,205266944,145925496,normal
Mon Jun 28 2021 18:03:13 GMT+0200 (GMT+02:00),0.000425509,[IN] - 200 [DELETE] /api/patients/60d9f29ce30fa918520f4781,205492224,145925496,normal
Mon Jun 28 2021 18:03:14 GMT+0200 (GMT+02:00),0.000298501,,205504512,145925496,normal
