Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes)
Fri Jun 25 2021 16:29:23 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,196538368,149464560
Fri Jun 25 2021 16:29:23 GMT+0200 (GMT+02:00),,[OUT] - 200 [POST] http://localhost:9500/,196538368,149464560
Fri Jun 25 2021 16:29:27 GMT+0200 (GMT+02:00),0.122098,,243589120,149464560
Fri Jun 25 2021 16:29:29 GMT+0200 (GMT+02:00),0.000317282,[IN] - 200 [GET] /api/patients/60d5e4a4d2745a182ceb1d6e,243589120,149464560
Fri Jun 25 2021 16:29:29 GMT+0200 (GMT+02:00),0.000317282,[OUT] - 200 [POST] http://localhost:9500/,243589120,149464560
Fri Jun 25 2021 16:29:32 GMT+0200 (GMT+02:00),0.00129914,,243593216,145716800
Fri Jun 25 2021 16:29:32 GMT+0200 (GMT+02:00),0.00129914,[IN] - 200 [DELETE] /api/patients/60d5e4a4d2745a182ceb1d6e,243593216,145716800
Fri Jun 25 2021 16:29:32 GMT+0200 (GMT+02:00),0.00129914,[OUT] - 200 [POST] http://localhost:9500/,243593216,145716800
Fri Jun 25 2021 16:29:35 GMT+0200 (GMT+02:00),0.0420254,[IN] - 200 [GET] /api/patients,204558336,145154392
Fri Jun 25 2021 16:29:35 GMT+0200 (GMT+02:00),0.0420254,[OUT] - 200 [POST] http://localhost:9500/,204558336,145154392
Fri Jun 25 2021 16:29:37 GMT+0200 (GMT+02:00),0.00124564,,204574720,145154392
Fri Jun 25 2021 16:29:42 GMT+0200 (GMT+02:00),0.000923869,,205086720,145154392
Fri Jun 25 2021 16:29:42 GMT+0200 (GMT+02:00),0.000923869,[IN] - 200 [GET] /api/patients,205086720,145154392
Fri Jun 25 2021 16:29:42 GMT+0200 (GMT+02:00),0.000923869,[OUT] - 200 [POST] http://localhost:9500/,205086720,145154392
Fri Jun 25 2021 16:29:47 GMT+0200 (GMT+02:00),0.00161029,,204689408,145422440
Fri Jun 25 2021 16:29:48 GMT+0200 (GMT+02:00),0.00161029,[IN] - 200 [PUT] /api/patients/60d5e73a8027f318a8d1a03d,204689408,145422440
Fri Jun 25 2021 16:29:48 GMT+0200 (GMT+02:00),0.00161029,[OUT] - 200 [POST] http://localhost:9500/,204689408,145422440
Fri Jun 25 2021 16:29:52 GMT+0200 (GMT+02:00),0.00192815,,205025280,145853704
Fri Jun 25 2021 16:29:57 GMT+0200 (GMT+02:00),0.0003081,,205094912,145853704
Fri Jun 25 2021 16:29:58 GMT+0200 (GMT+02:00),0.0003081,[IN] - 201 [POST] /api/patients,205094912,145853704
Fri Jun 25 2021 16:29:58 GMT+0200 (GMT+02:00),0.0003081,[OUT] - 200 [POST] http://localhost:9500/,205094912,145853704
Fri Jun 25 2021 16:30:01 GMT+0200 (GMT+02:00),0.00153831,[IN] - 200 [GET] /api/patients,205045760,146093664
Fri Jun 25 2021 16:30:01 GMT+0200 (GMT+02:00),0.00153831,[OUT] - 200 [POST] http://localhost:9500/,205045760,146093664
Fri Jun 25 2021 16:30:02 GMT+0200 (GMT+02:00),0.00153831,,205045760,146093664
Fri Jun 25 2021 16:30:07 GMT+0200 (GMT+02:00),0.000380997,[IN] - 200 [GET] /api/patients/60d5e4a4d2745a182ceb1d6e,205553664,146093664
Fri Jun 25 2021 16:30:07 GMT+0200 (GMT+02:00),0.000380997,[OUT] - 200 [POST] http://localhost:9500/,205553664,146093664
Fri Jun 25 2021 16:30:07 GMT+0200 (GMT+02:00),0.000380997,,205553664,146093664
