Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes)
Fri Jun 25 2021 16:13:30 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,,115626336
Fri Jun 25 2021 16:13:31 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,198705152,142293952
Fri Jun 25 2021 16:13:35 GMT+0200 (GMT+02:00),0.000319525,,239599616,142293952
Fri Jun 25 2021 16:13:37 GMT+0200 (GMT+02:00),0.000319525,[IN] - 200 [GET] /api/patients/60d5e3a3fe502f1793caed27,239599616,142293952
Fri Jun 25 2021 16:13:39 GMT+0200 (GMT+02:00),0.00050653,[IN] - 403 [POST] /api/patients,239607808,142293952
Fri Jun 25 2021 16:13:40 GMT+0200 (GMT+02:00),0.00050653,,239607808,142293952
Fri Jun 25 2021 16:13:45 GMT+0200 (GMT+02:00),0.000221105,,239927296,152448744
Fri Jun 25 2021 16:13:46 GMT+0200 (GMT+02:00),0.000221105,[IN] - 200 [PUT] /api/patients/60d5e3a3fe502f1793caed27,239927296,152448744
Fri Jun 25 2021 16:13:50 GMT+0200 (GMT+02:00),0.0135573,,239931392,144906168
Fri Jun 25 2021 16:13:50 GMT+0200 (GMT+02:00),0.0135573,[IN] - 200 [DELETE] /api/patients/60d5e3a3fe502f1793caed27,239931392,144906168
Fri Jun 25 2021 16:13:55 GMT+0200 (GMT+02:00),0.000554917,,203517952,144906168
Fri Jun 25 2021 16:13:56 GMT+0200 (GMT+02:00),0.000554917,[IN] - 201 [POST] /api/patients,203517952,144906168
Fri Jun 25 2021 16:13:58 GMT+0200 (GMT+02:00),0.000291957,[IN] - 200 [GET] /api/patients,203571200,144906168
Fri Jun 25 2021 16:14:00 GMT+0200 (GMT+02:00),0.000939508,,203935744,144906168
Fri Jun 25 2021 16:14:05 GMT+0200 (GMT+02:00),0.000396371,,204177408,144906168
Fri Jun 25 2021 16:14:05 GMT+0200 (GMT+02:00),0.000396371,[IN] - 201 [POST] /api/patients,204177408,144906168
Fri Jun 25 2021 16:14:07 GMT+0200 (GMT+02:00),0.000233789,[IN] - 200 [GET] /api/patients,203567104,145249720
Fri Jun 25 2021 16:14:10 GMT+0200 (GMT+02:00),0.00071224,,203567104,145249720
Fri Jun 25 2021 16:14:15 GMT+0200 (GMT+02:00),0.000289054,,203829248,145249720
Fri Jun 25 2021 16:14:16 GMT+0200 (GMT+02:00),0.000289054,[IN] - 200 [PUT] /api/patients/60d5e43de4c1c017e32aa592,203829248,145249720
Fri Jun 25 2021 16:14:20 GMT+0200 (GMT+02:00),0.000424443,,203866112,145249720
