Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Sun Jul 25 2021 16:58:22 GMT+0200 (GMT+02:00),,,192290816,149233576,normal
Sun Jul 25 2021 16:58:23 GMT+0200 (GMT+02:00),,,192290816,149233576,normal
Sun Jul 25 2021 16:58:24 GMT+0200 (GMT+02:00),0.15024,,252620800,149233576,normal
Sun Jul 25 2021 16:58:24 GMT+0200 (GMT+02:00),0.15024,[OUT] - 200 [GET] http://www.google.it/,252620800,149233576,normal
Sun Jul 25 2021 16:58:25 GMT+0200 (GMT+02:00),0.15024,,252620800,149233576,normal
Sun Jul 25 2021 16:58:26 GMT+0200 (GMT+02:00),0.00257681,,252739584,149233576,normal
Sun Jul 25 2021 16:58:27 GMT+0200 (GMT+02:00),0.00257681,,252739584,149233576,normal
Sun Jul 25 2021 16:58:27 GMT+0200 (GMT+02:00),0.00257681,[OUT] - 200 [GET] http://www.google.it/,252739584,149233576,normal
Sun Jul 25 2021 16:58:27 GMT+0200 (GMT+02:00),0.00257681,[IN] - 200 [GET] /api/patients,252739584,149233576,normal
Sun Jul 25 2021 16:58:28 GMT+0200 (GMT+02:00),0.00257681,,252739584,149233576,normal
Sun Jul 25 2021 16:58:29 GMT+0200 (GMT+02:00),0.00257681,,252739584,149233576,normal
Sun Jul 25 2021 16:58:30 GMT+0200 (GMT+02:00),0.00303127,,252911616,145821184,anomaly
Sun Jul 25 2021 16:58:30 GMT+0200 (GMT+02:00),0.00303127,[IN] - 200 [GET] /api/patients,252911616,145821184,anomaly
Sun Jul 25 2021 16:58:30 GMT+0200 (GMT+02:00),0.00303127,[OUT] - 200 [GET] http://www.google.it/,252911616,145821184,normal
Sun Jul 25 2021 16:58:31 GMT+0200 (GMT+02:00),0.00303127,,252911616,145821184,normal
Sun Jul 25 2021 16:58:32 GMT+0200 (GMT+02:00),0.0450563,,214556672,145245776,normal
Sun Jul 25 2021 16:58:33 GMT+0200 (GMT+02:00),0.0450563,,214556672,145245776,normal
Sun Jul 25 2021 16:58:33 GMT+0200 (GMT+02:00),0.0450563,[OUT] - 200 [GET] http://www.google.it/,214556672,145245776,normal
Sun Jul 25 2021 16:58:34 GMT+0200 (GMT+02:00),0.0450563,,214556672,145471384,normal
Sun Jul 25 2021 16:58:35 GMT+0200 (GMT+02:00),0.0450563,,214556672,145471384,normal
Sun Jul 25 2021 16:58:36 GMT+0200 (GMT+02:00),0.00176975,,215429120,145471384,normal
Sun Jul 25 2021 16:58:36 GMT+0200 (GMT+02:00),0.00176975,[OUT] - 200 [GET] http://www.google.it/,215429120,145471384,normal
Sun Jul 25 2021 16:58:37 GMT+0200 (GMT+02:00),0.00176975,,215429120,145471384,normal
Sun Jul 25 2021 16:58:38 GMT+0200 (GMT+02:00),0.00203037,,214818816,145564936,normal
Sun Jul 25 2021 16:58:39 GMT+0200 (GMT+02:00),0.00203037,,214818816,145564936,normal
Sun Jul 25 2021 16:58:39 GMT+0200 (GMT+02:00),0.00203037,[OUT] - 200 [GET] http://www.google.it/,214818816,145564936,normal
Sun Jul 25 2021 16:58:40 GMT+0200 (GMT+02:00),0.00203037,,214818816,145564936,normal
Sun Jul 25 2021 16:58:41 GMT+0200 (GMT+02:00),0.00203037,[IN] - 200 [GET] /api/patients/60fd79d98c0c4449c7a78cfa,214818816,145564936,normal
Sun Jul 25 2021 16:58:41 GMT+0200 (GMT+02:00),0.00203037,,214818816,145564936,normal
Sun Jul 25 2021 16:58:42 GMT+0200 (GMT+02:00),0.00161983,,214822912,145648120,normal
Sun Jul 25 2021 16:58:42 GMT+0200 (GMT+02:00),0.00161983,[OUT] - 200 [GET] http://www.google.it/,214822912,145648120,normal
Sun Jul 25 2021 16:58:43 GMT+0200 (GMT+02:00),0.00161983,,214822912,145648120,normal
Sun Jul 25 2021 16:58:44 GMT+0200 (GMT+02:00),0.00161983,[IN] - 404 [POST] /,214781952,145648120,anomaly
