Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Sun Jul 25 2021 16:31:32 GMT+0200 (GMT+02:00),,,,128197432,normal
Sun Jul 25 2021 16:31:33 GMT+0200 (GMT+02:00),,,220839936,149424376,normal
Sun Jul 25 2021 16:31:34 GMT+0200 (GMT+02:00),,[IN] - 200 [GET] /api/patients,220839936,149424376,normal
Sun Jul 25 2021 16:31:34 GMT+0200 (GMT+02:00),,,220839936,149424376,normal
Sun Jul 25 2021 16:31:35 GMT+0200 (GMT+02:00),0.0792755,[OUT] - 200 [GET] http://www.google.it/,249315328,149424376,normal
Sun Jul 25 2021 16:31:35 GMT+0200 (GMT+02:00),0.0792755,,249315328,149424376,normal
Sun Jul 25 2021 16:31:36 GMT+0200 (GMT+02:00),0.0792755,,249315328,149424376,normal
Sun Jul 25 2021 16:31:37 GMT+0200 (GMT+02:00),0.0792755,,249430016,149424376,normal
Sun Jul 25 2021 16:31:38 GMT+0200 (GMT+02:00),0.0792755,[OUT] - 200 [GET] http://www.google.it/,249430016,149424376,normal
Sun Jul 25 2021 16:31:38 GMT+0200 (GMT+02:00),0.0792755,,249430016,149424376,normal
Sun Jul 25 2021 16:31:39 GMT+0200 (GMT+02:00),0.00257096,,249430016,149424376,normal
Sun Jul 25 2021 16:31:40 GMT+0200 (GMT+02:00),0.00257096,[IN] - 200 [GET] /api/patients/60fd7400108c293742150de5,249430016,149424376,normal
Sun Jul 25 2021 16:31:40 GMT+0200 (GMT+02:00),0.00257096,,249430016,149424376,normal
Sun Jul 25 2021 16:31:41 GMT+0200 (GMT+02:00),0.00200457,[IN] - 200 [GET] /api/patients/60fd7400108c293742150de5,249430016,145312080,anomaly
Sun Jul 25 2021 16:31:41 GMT+0200 (GMT+02:00),0.00200457,[OUT] - 200 [GET] http://www.google.it/,249430016,145312080,normal
Sun Jul 25 2021 16:31:41 GMT+0200 (GMT+02:00),0.00200457,,249430016,145312080,normal
Sun Jul 25 2021 16:31:42 GMT+0200 (GMT+02:00),0.00200457,,249430016,145312080,normal
Sun Jul 25 2021 16:31:43 GMT+0200 (GMT+02:00),0.00200457,,210964480,145312080,normal
Sun Jul 25 2021 16:31:44 GMT+0200 (GMT+02:00),0.00200457,[OUT] - 200 [GET] http://www.google.it/,210964480,145312080,normal
Sun Jul 25 2021 16:31:44 GMT+0200 (GMT+02:00),0.00200457,[IN] - 200 [DELETE] /api/patients/60fd7400108c293742150de5,210964480,145312080,normal
Sun Jul 25 2021 16:31:44 GMT+0200 (GMT+02:00),0.00200457,,210964480,145312080,anomaly
Sun Jul 25 2021 16:31:44 GMT+0200 (GMT+02:00),0.00200457,[IN] - 200 [DELETE] /api/patients/60fd7400108c293742150de5,210964480,145312080,normal
Sun Jul 25 2021 16:31:45 GMT+0200 (GMT+02:00),0.0237636,,210964480,145549432,normal
Sun Jul 25 2021 16:31:46 GMT+0200 (GMT+02:00),0.0237636,,210964480,145549432,normal
Sun Jul 25 2021 16:31:47 GMT+0200 (GMT+02:00),0.00380583,[OUT] - 200 [GET] http://www.google.it/,211202048,145686920,normal
Sun Jul 25 2021 16:31:47 GMT+0200 (GMT+02:00),0.00380583,,211202048,145686920,normal
Sun Jul 25 2021 16:31:48 GMT+0200 (GMT+02:00),0.00380583,,211202048,145686920,normal
Sun Jul 25 2021 16:31:49 GMT+0200 (GMT+02:00),0.00174894,,211218432,145686920,normal
Sun Jul 25 2021 16:31:50 GMT+0200 (GMT+02:00),0.00174894,[OUT] - 200 [GET] http://www.google.it/,211218432,145686920,normal
Sun Jul 25 2021 16:31:50 GMT+0200 (GMT+02:00),0.00174894,,211218432,145686920,normal
Sun Jul 25 2021 16:31:51 GMT+0200 (GMT+02:00),0.00174894,[IN] - 200 [PUT] /api/patients/60fd7406108c293742150de7,211218432,145759712,normal
Sun Jul 25 2021 16:31:51 GMT+0200 (GMT+02:00),0.00174894,,211218432,145759712,normal
Sun Jul 25 2021 16:31:52 GMT+0200 (GMT+02:00),0.00174894,[IN] - 200 [PUT] /api/patients/60fd7406108c293742150de7,211218432,145759712,normal
Sun Jul 25 2021 16:31:52 GMT+0200 (GMT+02:00),0.00174894,,211218432,145759712,normal
Sun Jul 25 2021 16:31:53 GMT+0200 (GMT+02:00),0.0019588,[OUT] - 200 [GET] http://www.google.it/,210857984,146230928,normal
Sun Jul 25 2021 16:31:53 GMT+0200 (GMT+02:00),0.0019588,,210857984,146230928,normal
Sun Jul 25 2021 16:31:54 GMT+0200 (GMT+02:00),0.0019588,,210857984,146230928,normal
Sun Jul 25 2021 16:31:55 GMT+0200 (GMT+02:00),0.00336544,,211525632,146312272,normal
Sun Jul 25 2021 16:31:56 GMT+0200 (GMT+02:00),0.00336544,[OUT] - 200 [GET] http://www.google.it/,211525632,146312272,normal
Sun Jul 25 2021 16:31:56 GMT+0200 (GMT+02:00),0.00336544,,211525632,146312272,normal
Sun Jul 25 2021 16:31:57 GMT+0200 (GMT+02:00),0.00336544,,211525632,146312272,normal
Sun Jul 25 2021 16:31:58 GMT+0200 (GMT+02:00),0.00336544,,211525632,146312272,normal
Sun Jul 25 2021 16:31:59 GMT+0200 (GMT+02:00),0.00244335,[OUT] - 200 [GET] http://www.google.it/,211460096,146312272,normal
Sun Jul 25 2021 16:31:59 GMT+0200 (GMT+02:00),0.00244335,,211460096,146312272,normal
Sun Jul 25 2021 16:32:00 GMT+0200 (GMT+02:00),0.00244335,[IN] - 201 [POST] /api/patients,211460096,146312272,normal
Sun Jul 25 2021 16:32:00 GMT+0200 (GMT+02:00),0.00244335,,211460096,146312272,normal
Sun Jul 25 2021 16:32:01 GMT+0200 (GMT+02:00),0.00226411,,211738624,146425144,normal
Sun Jul 25 2021 16:32:02 GMT+0200 (GMT+02:00),0.00226411,[OUT] - 200 [GET] http://www.google.it/,211738624,146425144,normal
Sun Jul 25 2021 16:32:02 GMT+0200 (GMT+02:00),0.00226411,,211738624,146425144,normal
Sun Jul 25 2021 16:32:03 GMT+0200 (GMT+02:00),0.00226411,,211738624,146626120,normal
Sun Jul 25 2021 16:32:04 GMT+0200 (GMT+02:00),0.00226411,,211738624,146626120,normal
Sun Jul 25 2021 16:32:05 GMT+0200 (GMT+02:00),0.00156855,[OUT] - 200 [GET] http://www.google.it/,211501056,146626120,normal
Sun Jul 25 2021 16:32:05 GMT+0200 (GMT+02:00),0.00156855,,211501056,146626120,normal
Sun Jul 25 2021 16:32:06 GMT+0200 (GMT+02:00),0.00156855,,211501056,146626120,normal
Sun Jul 25 2021 16:32:08 GMT+0200 (GMT+02:00),0.00156855,,212058112,146626120,anomaly
Sun Jul 25 2021 16:32:08 GMT+0200 (GMT+02:00),0.00156855,[OUT] - 200 [GET] http://www.google.it/,212058112,146626120,normal
Sun Jul 25 2021 16:32:09 GMT+0200 (GMT+02:00),0.00148318,,212058112,146688816,normal
Sun Jul 25 2021 16:32:10 GMT+0200 (GMT+02:00),0.00148318,,212058112,146688816,normal
Sun Jul 25 2021 16:32:11 GMT+0200 (GMT+02:00),0.00219772,,211640320,146688816,normal
Sun Jul 25 2021 16:32:11 GMT+0200 (GMT+02:00),0.00219772,[OUT] - 200 [GET] http://www.google.it/,211640320,146688816,normal
Sun Jul 25 2021 16:32:12 GMT+0200 (GMT+02:00),0.00219772,,211640320,146688816,normal
Sun Jul 25 2021 16:32:13 GMT+0200 (GMT+02:00),0.00162148,,212201472,146765016,normal
Sun Jul 25 2021 16:32:14 GMT+0200 (GMT+02:00),0.00162148,,212201472,146765016,normal
Sun Jul 25 2021 16:32:14 GMT+0200 (GMT+02:00),0.00162148,[OUT] - 200 [GET] http://www.google.it/,212201472,146765016,normal
Sun Jul 25 2021 16:32:15 GMT+0200 (GMT+02:00),0.00162148,,212201472,146765016,normal
Sun Jul 25 2021 16:32:16 GMT+0200 (GMT+02:00),0.00162148,,212201472,146765016,normal
Sun Jul 25 2021 16:32:17 GMT+0200 (GMT+02:00),0.00189412,,212008960,146765016,anomaly
Sun Jul 25 2021 16:32:17 GMT+0200 (GMT+02:00),0.00189412,[OUT] - 200 [GET] http://www.google.it/,212008960,146765016,anomaly
Sun Jul 25 2021 16:32:18 GMT+0200 (GMT+02:00),0.00189412,,212008960,146765016,anomaly
Sun Jul 25 2021 16:32:19 GMT+0200 (GMT+02:00),0.00223719,,211632128,146867584,anomaly
Sun Jul 25 2021 16:32:20 GMT+0200 (GMT+02:00),0.00223719,,211632128,146867584,anomaly
Sun Jul 25 2021 16:32:20 GMT+0200 (GMT+02:00),0.00223719,[OUT] - 200 [GET] http://www.google.it/,211632128,146867584,anomaly
